Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
Hastelloy B 	5396A 	S.NiMo30 	2.48 	3300 	479 	0.24
Hastelloy B-2 				3300 	479 	0.24
Hastelloy C-22 				3300 	479 	0.24
Hastelloy C-276 		G-NiMo30 	2.4819 	3300 	479 	0.24
Hastelloy C-4 				3300 	479 	0.24
Hastelloy G 				3300 	479 	0.24
Hastelloy G-3 			2.4619 	3300 	479 	0.24
Hastelloy N 				3300 	479 	0.24
Hastelloy R235 				3300 	479 	0.24
Hastelloy S 				3300 	479 	0.24
Hastelloy W 				3300 	479 	0.24
Hastelloy X 	5536 	NiCr22FeMo 	2.4603 	3300 	479 	0.24
Haynes 188 	5772 			3300 	479 	0.24
Haynes 25 	5759 	LW2.4964 		3300 	479 	0.24
Haynes 263 				3300 	479 	0.24
Haynes 556 	5768 	X12CrCoNi2120 		3300 	479 	0.24
Haynes 600 	5540 	NiCr15Fe 	2.4816 	3300 	479 	0.24
Haynes 601 	5715 		2.4851 	3300 	479 	0.24
Haynes 625 	ASME SB443 	NiCr22Mo9Nb 	2.4856 	3300 	479 	0.24
Haynes 690 		NiCr29Fe 	2.4642 	3300 	479 	0.24
Haynes 75 				3300 	479 	0.24
Haynes X-750 	5542 		2.4669 	3300 	479 	0.24
HNV3 	HNV3 	X45CrSi9-3 	1.4718 	1875 	272 	0.21
HS 21 	ASTM F-75 	CoCr28Mo 		3300 	479 	0.24
HS 25 	AlSl 670 	CoCr20W15Ni 		3300 	479 	0.24
HS 30 	5380 	CoCr26Ni14Mo 		3300 	479 	0.24
HS 31 	ASTM A567 	CoCr25NiW 		3300 	479 	0.24
HS 36 		CoCr19W14NiB 		3300 	479 	0.24
HW3 	HW3 	X45GrSi93 	1.4718 	2450 	355 	0.23
Hyper Duplex 2707 (A276) 	A276 	X2CrNiMoCoN28-8-5-1 	1.4658 	2150 	312 	0.20
IN100 	5397 	NiCo15Cr10MoAlTi 	2.4674 	3300 	479 	0.24
Incoloy 020 	ASTM B463 		2.4660 	2600 	377 	0.24
Incoloy 800 	ASME SB409 	X10NiCrAlTi3220 		2600 	377 	0.24
Incoloy 801 	5552 	G.X50CrNi3030 	1.4868 	2600 	377 	0.24
Incoloy 802 				2600 	377 	0.24
Incoloy 803 				2600 	377 	0.24
Incoloy 804 				3300 	479 	0.24
Incoloy 825 	ASME SB163 	NiCr21Mo 	2.4858 	3300 	479 	0.24
Incoloy 901 	5660 	NiFe35Cr14MoTi 	2.4662 	3300 	479 	0.24
Incoloy 903 		NiFe42K15Nb 		3300 	479 	0.24
Incoloy 925 				3300 	479 	0.24
Incoloy DS 		X12NiCrSi3616 		2600 	377 	0.24
Inconel 050 				3300 	479 	0.24
Inconel 182 				3300 	479 	0.24
Inconel 22 	ASME SB575 			3300 	479 	0.24
Inconel 230 				3300 	479 	0.24
Inconel 600 	5540 	NiCr15Fe 	2.4640 	3300 	479 	0.24
Inconel 600SP 				3300 	479 	0.24
Inconel 601 	5715 		2.4851 	3300 	479 	0.24
Inconel 601GC 				3300 	479 	0.24
Inconel 603XL 				3300 	479 	0.24
Inconel 604 				3300 	479 	0.24
Inconel 606 				3300 	479 	0.24
Inconel 613 				3300 	479 	0.24
Inconel 617 		NiCr23Co12Mo 	2.4663 	3300 	479 	0.24
Inconel 62 				3300 	479 	0.24
Inconel 622 			2.4602 	3300 	479 	0.24
Inconel 625 	ASME SB443.4 	NiCr22Mo9Nb 	2.4856 	3300 	479 	0.24
Inconel 625LCF 				3300 	479 	0.24
Inconel 657 				3300 	479 	0.24
Inconel 671 				3300 	479 	0.24
Inconel 672 				3300 	479 	0.24
Inconel 686 				3300 	479 	0.24
Inconel 690 			2.4642 	3300 	479 	0.24
Inconel 691 				3300 	479 	0.24
Inconel 693 				3300 	479 	0.24
Inconel 702 	5550 			3300 	479 	0.24
